03/10/24 14.31 - Pesan dan panggilan dienkripsi secara end-to-end. Tidak seorang pun di luar chat ini; termasuk WhatsApp; yang dapat membaca atau mendengarkannya. Ketuk untuk info selengkapnya.;;;;
"03/10/24 14.31 - â€ŽAtha membuat grup ""APSih""";;;;;;
03/10/24 14.31 - â€ŽAtha menambahkan Anda;;;;;;
03/10/24 15.53 - Atha: @6283863404275 Intro dulu bang;;;;;;
03/10/24 15.52 - â€ŽAtha menambahkan Bayu;;;;;;
03/10/24 15.54 - Bayu: <Media tidak disertakan>;;;;;;
03/10/24 15.55 - â€ŽAtha mengeluarkan Bayu;;;;;;
03/10/24 15.55 - â€ŽAtha menambahkan Bayu;;;;;;
03/10/24 15.56 - Atha: @6283863404275 intro dulu bang;;;;;;
03/10/24 15.57 - Bayu: <Media tidak disertakan>;;;;;;
03/10/24 15.58 - duta: <Media tidak disertakan>;;;;;;
03/10/24 15.58 - Bayu: <Media tidak disertakan>;;;;;;
03/10/24 15.59 - Atha: <Media tidak disertakan>;;;;;;
03/10/24 16.05 - duta: <Media tidak disertakan>;;;;;;
03/10/24 16.59 - Alex: <Media tidak disertakan>;;;;;;
03/10/24 17.39 - Atha: info gartic phone;;;;;;
03/10/24 17.39 - Alex: Manut;;;;;;
03/10/24 17.44 - Atha: nanti maleman;;;;;;
03/10/24 20.03 - Zaki: info;;;;;;
03/10/24 20.13 - Alex: Sido ra ki selak micek;;;;;;
03/10/24 20.13 - Atha: lha lain e;;;;;;
03/10/24 20.13 - Atha: @6281338245602 @6281336530958 @6281288360400;;;;;;
03/10/24 20.13 - Zaki: sek tuku barang delo;;;;;;
03/10/24 20.17 - Alex: Gage;;;;;;
03/10/24 20.17 - Alex: <Media tidak disertakan>;;;;;;
03/10/24 20.20 - Zaki: gas;;;;;;
03/10/24 20.20 - Zaki: room e le ndi;;;;;;
03/10/24 20.20 - Atha: duta diki ndi?;;;;;;
03/10/24 20.20 - Zaki: duta turu ketoe;;;;;;
03/10/24 20.21 - Zaki: mau sambat rapenak awake;;;;;;
03/10/24 20.21 - Alex: Sopo neh ki seng main;;;;;;
03/10/24 20.21 - Atha: diki;;;;;;
03/10/24 20.21 - Alex: @6281336530958 inpo inpo;;;;;;
03/10/24 20.22 - Atha: sg mancing;;;;;;
03/10/24 20.22 - Alex: Wong 3 tok ki?;;;;;;
03/10/24 20.23 - Zaki: wes mlebu aku;;;;;;
03/10/24 20.23 - Zaki: lagi enek kancane;;;;;;
03/10/24 20.23 - Alex: <Media tidak disertakan>;;;;;;
03/10/24 20.24 - Atha: Yusra jak en lek;;;;;;
03/10/24 20.25 - Alex: Oke;;;;;;
03/10/24 20.26 - Zaki: @6281288360400 info;;;;;;
03/10/24 20.28 - Alex: Sena jaken cah;;;;;;
03/10/24 20.44 - Atha: ono @6285865218530;;;;;;
03/10/24 20.48 - Avicena: Opo iki;;;;;;
03/10/24 20.48 - Atha: gambar;;;;;;
03/10/24 20.48 - Atha: discord;;;;;;
03/10/24 20.48 - Avicena: Skip;;;;;;
03/10/24 20.49 - Alex: ayo;;;;;;
03/10/24 20.49 - Zaki: kudu join cen;;;;;;
03/10/24 20.49 - Zaki: wajib;;;;;;
03/10/24 20.49 - Avicena: Lagi diluar;;;;;;
03/10/24 20.50 - Atha: mlebuno;;;;;;
03/10/24 20.52 - Zaki: nyusul no;;;;;;
10/10/24 11.50 - Atha: <Media tidak disertakan>;;;;;;
10/10/24 11.51 - Alex: Bjir mulai e durung oghðŸ—¿;;;;;;
10/10/24 11.51 - Atha: yo podo lah wong kita sekelompok;;;;;;
10/10/24 11.52 - Alex: <Media tidak disertakan>;;;;;;
10/10/24 12.08 - Bayu: Jano sek tugas kelompok kon gawe opo;;;;;;
10/10/24 12.10 - Alex: <Media tidak disertakan>;;;;;;
10/10/24 12.10 - Atha: nggawe koe bahagia yuðŸ˜”;;;;;;
10/10/24 12.41 - Bayu: Sistem akademik wae gak sih;;;;;;
10/10/24 12.41 - Alex: Boleh malah penak golek contone spada mbi ol aowkwowk;;;;;;
11/10/24 00.17 - duta: kerkom kah?;;;;;;
11/10/24 00.18 - duta: dl minggu bjirr;;;;;;
11/10/24 08.32 - Bayu: Pesan ini dihapus;;;;;;
11/10/24 09.42 - Atha: bolehhh;;;;;;
11/10/24 09.42 - Atha: penting ono jawaban e sek ae;;;;;;
11/10/24 09.43 - Alex: Eh cah wi ngko hasil e bentuk ppt to?;;;;;;
11/10/24 09.44 - Atha: yen sg dl minggu tulis tangan;;;;;;
11/10/24 09.45 - Alex: Topik e meh iki sidane?;;;;;;
11/10/24 09.55 - Atha: manut;;;;;;
11/10/24 09.59 - Bayu: Intine sek dl minggu wi kon ngooo wae;;;;;;
11/10/24 10.00 - Alex: Iki mak kon nulis progres;;;;;;
11/10/24 10.01 - Alex: Sek ngko jijal tak gaene sak mampu ku sek;;;;;;
11/10/24 10.03 - Atha: ngoooo;;;;;;
11/10/24 10.03 - Atha: koe mampu garap kabeh sih lek;;;;;;
11/10/24 10.03 - Atha: iku sg nomer 2 i individu opo ttp kelompok?;;;;;;
11/10/24 10.03 - Bayu: Ngopo cukðŸ˜‘;;;;;;
11/10/24 10.11 - Alex: Nah kui koyone individu;;;;;;
11/10/24 10.18 - Bayu: Individu;;;;;;
11/10/24 12.31 - duta: <Media tidak disertakan>;;;;;;
11/10/24 12.32 - Alex: Bayar ra dut;;;;;;
11/10/24 12.32 - duta: free sampe tgl 11;;;;;;
11/10/24 12.32 - duta: dino iki;;;;;;
11/10/24 12.32 - duta: claim o;;;;;;
11/10/24 12.32 - Atha: bisa mabar ga?;;;;;;
11/10/24 12.32 - duta: nek dari review ne sih bisa;;;;;;
11/10/24 12.33 - duta: lha kui desc e multiplayer;;;;;;
11/10/24 12.34 - Atha: lah iya kocak;;;;;;
11/10/24 12.34 - Atha: sek download;;;;;;
11/10/24 12.34 - Atha: langsung infokan saja;;;;;;
11/10/24 12.39 - duta: garap aps bjirr;;;;;;
11/10/24 12.39 - Alex: Santai bjir masih mingguðŸ—¿ðŸ¤£;;;;;;
11/10/24 12.39 - duta: kocakk;;;;;;
11/10/24 12.40 - Alex: <Media tidak disertakan>;;;;;;
11/10/24 12.43 - Atha: review e mostly negative jirrr;;;;;;
11/10/24 12.49 - Atha: <Media tidak disertakan>;;;;;;
11/10/24 12.49 - Zaki: meh do garap kapan ?;;;;;;
11/10/24 12.49 - duta: lagi we rilis nde wingi bjirr;;;;;;
11/10/24 12.50 - Atha: ayo discord;;;;;;
11/10/24 12.50 - Atha: minggu iki full acara njrr;;;;;;
11/10/24 12.51 - Zaki: nek saiki nusul hehe;;;;;;
11/10/24 12.51 - Zaki: nek kamous delo;;;;;;
11/10/24 12.51 - duta: 2;;;;;;
11/10/24 12.52 - Atha: yo sg iso sek;;;;;;
11/10/24 12.52 - Atha: tapi w makan duls;;;;;;
11/10/24 12.54 - Atha: @6281337414045 @6281288360400 @6283863404275;;;;;;
11/10/24 12.54 - Alex: DC?;;;;;;
11/10/24 12.58 - Avicena: null;;;;;;
11/10/24 12.58 - Alex: Mantap;;;;;;
